"爐子型號"	"爐子挖孔尺寸"
"G-9521G"	"670*350*R85"
"ST-2190"	"670*350*R85"
"G-2522G"	"670*350*R85"
"SB-2183"	"668*403*R92.5"
"G-2826G"	"670*350*R85"
"EHH3220NVK"	"276*490*R5"
"VHI-72520STU"	"710*410"
"RB-N201"	"670*350*R85"
"RB-3CGT-TR"	"挖815*405"
"PRA326D71T"	"挖270*490
面306*527"
"PKF375FP1E"	"挖270*490
面306*527"
"PKF375FP2E"	"挖270*490~500
面306*527"
"RHS71W31E13VCSTW-13A"	"570*465*R30(前沿6.5)"
"RHS71W31E11RCBW-BA"	"565*460*R10(前沿6.5)"
"KZ-YP36S"	"565*460*R10(前沿6.5開挖)"
"G-2623AG"	"728*468*R113"
"RB-22G-TY"	"670*350*R85"
"SI1M7733B"	"560*490"
"G-2112G"	"挖285*485*R12
面315*510"
"JZC-95314ABB"	"860*490"
"DTI-1358DG"	"560*490"
"SH-303"	"310*330"
"RB-H3280"	"561*486"
"MB-200GB"	"670*350*R85"
"RB-L2610G"	"670*350*R85"
"RB-22G"	"670*350*R85"
"JZC-63312ABB"	"560*490"
"RB-N100G"	"挖268*490*R0
面310×520"
"RB71W23L1R5"	"挖孔560×460 (R20)"
"P903BPRONE"	"850*480
(面板後蓋3.5,前1,盡量靠前挖)"
"透氣孔"	"挖395*42
面420*5"
"VG231234RK"	"挖268*492
面288*512"
"GI-3416"	"275*495*R5"
"JT-IH239SR"	"670*350*R85"
"RB-L2700S"	"725*465*R85"
"PI-6530"	"560*490"
"G-2826"	"670*350*R85"
"JZT-D3"	"650*350"
"RB-L2620GB"	"670*350*R85"
"PD-862WS-75CK"	"565*460*R10-6.5"
"RB-L2700"	"725*465*R85"
"RBTS-Q230G"	"670*350*R10前8"
"G-6611"	"670 × 350*R10
(嵌入爐前沿8CM)"
"IZS-34700"	"挖280*490
面300xD510"
"JT-GC205A"	"670*350*R85"
"200GHB"	"670*350*R85"
"RB-2112G"	"285*485*R12"
"RB-L2600"	"670*350*R85"
"G-2922AGB"	"670*350*R85"
"MB-L2700"	"725*465*R85"
"RB-2280A"	"630*367*R5"
"KY-E227"	"710*368*R5"
"MB-D2600"	"670*350*R85"
"ILVE I9640CCGGV"	"840*480 前5.5開挖"
"EG-2231GB"	"270*490"
"P603IC1B2NEE"	"560*490"
"N212G"	"670x350xR85"
"IWHH7320TT"	"660*390"
"VI232120"	"挖268*492
面288*512"
"G2522BG"	"670 x 350 mm R85 "
"JT-GC299AS"	"670x350xR85"
"GIH340A"	"685x385"
"MBD3700"	"725*465*R85"
"RD641STS"	"560*460*R10~30"
"RB-2232HA"	"720×425(R0)"
