brand,color,imageUrl
"ABK","四季-禪風格柵","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_n83db52x92.jpg"
"ABK","4 SEASONS MIX","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_n83db52x92.jpg"
"ABK","四季-格柵橡木","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_pvbjp88e7k.jpg"
"ABK","4 SEASONS STRIP","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_pvbjp88e7k.jpg"
"ABK","四季-橡木","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_97f8s459tv.jpg"
"ABK","4 SEASONS HONEY","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_97f8s459tv.jpg"
"ABK","銀河灰-月牙色","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_a4xtnm3eet.jpg"
"ABK","BLUE SAVOY- MOON","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_a4xtnm3eet.jpg"
"ABK","朔月","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_4tqvhxcgqv.jpg"
"ABK","QUARZITE LUNA","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_4tqvhxcgqv.jpg"
"ABK","黑岩","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_f5cfabq57p.jpg"
"ABK","DARK STONE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_f5cfabq57p.jpg"
"ABK","米開朗基羅","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_9mmsbmnpmx.jpg"
"ABK","CALACATTA MICHELANGELO","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_9mmsbmnpmx.jpg"
"ABK","水磨石","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_p79waegymt.jpg"
"ABK","FUTURA CENERE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_p79waegymt.jpg"
"ABK","亞米娜-灰","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_pdz42fymuv.jpg"
"ABK","ANIMA-GRIGIO","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_pdz42fymuv.jpg"
"ABK","亞米娜-米黃","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_s583qgy3uc.jpg"
"ABK","ANIMA-BEIGE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_s583qgy3uc.jpg"
"ABK","錫耶那暮靄","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_akk4ast9gu.jpg"
"ABK","GRIGIO SIENA","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_akk4ast9gu.jpg"
"ABK","普爾比斯象牙白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_kupn3uyq8r.jpg"
"ABK","PULPIS IVORY","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_kupn3uyq8r.jpg"
"ABK","帝國磐石","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_a3avws6vus.jpg"
"ABK","BRECCIA IMPERIALE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_a3avws6vus.jpg"
"ABK","瓦爾泰利納皂石","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_yuqc6negri.jpg"
"ABK","GREY SOAPSTONE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_yuqc6negri.jpg"
"ABK","白金瓦利","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_yvi3u36wqk.jpg"
"ABK","BIANCO VAGLI","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_yvi3u36wqk.jpg"
"ABK","雕刻白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_5ebeivvfpk.jpg"
"ABK","STATUARIO LIGHT","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_5ebeivvfpk.jpg"
"ABK","風化灰岩-迷霧灰","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_tu7eze8566.jpg"
"ABK","RETOUR-FOG","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_tu7eze8566.jpg"
"ABK","風化灰岩-象牙白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_na4v3yv9ar.jpg"
"ABK","RETOUR-IVORY","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_na4v3yv9ar.jpg"
"ABK","幻影白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_9fstd3eysv.jpg"
"ABK","INVISIBLE SELECT","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_9fstd3eysv.jpg"
"ABK","璀璨羅馬","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_5ftixviiuq.jpg"
